AT,AP,AH,TEY,CO,NOX,AP_normalized
5.9879,1012.1,62.305,163.04,3.0445,63.861,-0.22028985507246404
6.3757,1011.7,59.324,159.27,3.1449,66.59,-0.2666666666666649
7.0174,1011.5,52.002,134.24,3.6935,76.425,-0.28985507246377196
7.389,1011.7,50.07,135.86,3.399,75.146,-0.2666666666666649
6.6267,1012.2,53.331,134.04,4.0606,77.062,-0.20869565217391053
5.5087,1012.7,55.561,134.82,3.8777,77.474,-0.15072463768115613
4.5124,1012.8,54.963,135.01,3.4769,78.371,-0.1391304347826158
3.516,1012.5,56.067,134.79,3.4982,79.608,-0.17391304347826317
3.0703,1012.2,56.624,133.51,3.5572,80.176,-0.20869565217391053
2.6519,1011.5,60.79,130.61,3.6395,81.71,-0.28985507246377196
2.4406,1010.6,70.311,131.95,3.6706,80.28,-0.3942028985507272
2.3235,1010.1,68.905,130.58,3.7925,81.459,-0.4521739130434816
2.423,1009.3,65.865,112.71,7.0833,56.838,-0.5449275362318965
2.3053,1009.2,67.219,110.81,7.0833,56.838,-0.5565217391304369
1.8974,1009.1,78.196,110.0,7.0833,56.838,-0.5681159420289904
1.8232,1007.9,70.688,110.42,6.216,56.838,-0.7072463768116062
2.0207,1007.6,69.154,106.91,7.0833,56.838,-0.7420289855072535
2.0987,1007.8,67.308,109.57,6.7056,56.838,-0.7188405797101597
2.0555,1008.0,66.123,110.57,6.4282,56.838,-0.6956521739130527
1.8488,1008.4,65.453,150.97,4.0116,77.148,-0.6492753623188517
1.8404,1008.8,65.211,165.55,2.8588,64.153,-0.6028985507246509
2.1479,1009.0,63.952,167.09,2.7916,64.562,-0.5797101449275439
2.8161,1009.2,59.68,165.62,2.741,65.623,-0.5565217391304369
3.4249,1009.4,54.908,165.63,2.7737,65.073,-0.533333333333343
3.6133,1009.7,53.286,164.66,2.8627,65.905,-0.49855072463768246
3.6762,1010.2,50.595,164.7,2.8466,66.105,-0.4405797101449281
3.5235,1010.9,51.275,164.78,2.7573,65.393,-0.35942028985507984
2.077,1013.8,61.263,160.38,1.8823,67.769,-0.02318840579710703
1.7858,1014.2,62.448,108.94,7.0833,56.838,0.02318840579710703
1.5405,1015.0,64.41,108.96,7.0833,56.838,0.11594202898550877
1.2194,1015.8,64.414,109.0,7.0833,56.838,0.20869565217391053
0.71835,1016.4,65.821,120.19,7.0833,56.838,0.27826086956521845
0.37115,1017.3,69.401,109.31,7.0833,56.838,0.3826086956521737
-0.48795,1018.9,70.67,110.1,7.0833,56.838,0.5681159420289904
-1.4042,1021.1,68.896,112.05,7.0833,56.838,0.8231884057971149
-1.7088,1022.3,66.518,142.16,4.1911,56.838,0.9623188405797175
-2.2845,1023.4,65.756,155.12,2.8775,79.495,1.0898550724637799
-3.0659,1024.4,62.778,164.78,2.8084,68.658,1.2057971014493019
-3.3038,1025.4,59.547,159.23,2.8682,75.366,1.3217391304348105
-3.2817,1026.4,56.04,157.71,3.2402,74.199,1.4376811594203194
-3.289,1027.1,51.789,155.48,3.4726,56.838,1.5188405797101543
-3.3057,1027.4,45.667,155.81,3.0517,56.838,1.553623188405828
-3.0785,1028.0,44.637,158.6,2.649,76.904,1.6231884057971229
-3.0784,1028.6,44.247,162.4,2.1716,69.515,1.6927536231884175
-3.2766,1029.3,47.798,172.55,2.7476,60.829,1.773913043478279
-3.6358,1030.2,49.327,172.01,2.5435,61.681,1.8782608695652474
-4.0106,1031.0,53.134,175.01,1.5993,58.517,1.9710144927536493
-4.3625,1031.8,55.276,174.34,1.5038,58.695,2.063768115942051
-4.7684,1032.2,55.069,174.88,1.8185,59.708,2.110144927536265
-5.0266,1032.5,55.087,174.63,2.4862,61.472,2.1449275362319122
-4.938,1033.4,55.609,177.49,2.6486,59.26,2.2492753623188806
-5.0675,1034.2,56.755,173.67,2.6749,62.076,2.3420289855072824
-5.4155,1034.6,58.816,172.89,2.7617,63.743,2.3884057971014703
-5.5667,1034.8,59.539,174.91,2.8223,62.329,2.411594202898577
-5.7711,1035.1,61.242,137.78,3.703,56.838,2.4463768115942246
-5.5819,1035.5,57.123,133.95,7.0833,81.922,2.4927536231884386
-5.7349,1035.6,57.403,115.31,7.0833,80.947,2.504347826086979
-5.785,1035.3,59.661,127.98,6.7421,56.838,2.469565217391332
-5.82,1035.6,60.358,133.81,4.051,56.838,2.504347826086979
-5.9793,1035.7,62.049,137.51,3.1689,80.263,2.515942028985546
-6.2348,1035.8,63.962,176.91,2.2209,53.308,2.527536231884086
-5.8189,1036.3,64.9,176.71,1.4626,55.001,2.5855072463768405
-4.9653,1036.4,63.518,176.25,1.3533,54.915,2.597101449275407
-3.9215,1036.4,61.696,174.64,1.5254,57.459,2.597101449275407
-3.0217,1036.3,57.921,173.94,3.1926,66.41,2.5855072463768405
-2.2409,1035.7,54.374,173.47,4.0948,69.878,2.515942028985546
-1.4926,1035.3,52.331,172.91,3.2771,65.348,2.469565217391332
-1.0018,1035.4,50.034,172.16,2.6477,61.383,2.4811594202898983
-1.051,1035.5,50.403,172.91,2.1929,59.289,2.4927536231884386
-1.4086,1035.8,51.721,173.57,3.0832,61.519,2.527536231884086
-1.9402,1036.0,54.925,174.22,1.7114,57.337,2.550724637681193
-2.9167,1036.3,58.818,174.53,1.2045,56.37,2.5855072463768405
-3.816,1036.5,62.975,175.33,1.9354,58.808,2.6086956521739473
-4.5333,1036.6,66.798,174.82,1.8807,58.676,2.6202898550724876
-4.9758,1036.5,70.657,175.41,1.5928,57.449,2.6086956521739473
-5.1355,1036.3,73.405,174.42,1.6498,58.026,2.5855072463768405
-5.0905,1036.2,75.107,176.35,1.6027,55.634,2.5739130434783
-4.8432,1035.8,73.335,174.46,1.2684,56.305,2.527536231884086
-4.8908,1035.2,72.088,174.39,2.0439,58.512,2.457971014492791
-4.9279,1034.9,71.525,174.2,2.3491,60.118,2.423188405797144
-5.4839,1034.5,72.581,176.09,2.1367,58.693,2.37681159420293
-5.8956,1034.1,70.851,177.88,1.9988,56.206,2.330434782608716
-5.9031,1034.0,68.12,178.31,1.435,54.794,2.3188405797101757
-5.8847,1033.6,66.92,176.55,1.2721,56.124,2.2724637681159616
-5.6218,1033.2,66.772,177.91,1.6697,56.386,2.226086956521774
-4.5664,1032.8,69.383,173.05,1.4528,59.496,2.1797101449275598
-2.0146,1032.1,68.559,170.26,1.7187,50.349,2.098550724637698
1.0693,1031.1,63.791,167.5,2.3791,60.097,1.9826086956521896
2.8271,1029.6,53.567,167.69,2.1031,59.758,1.8086956521739264
3.7325,1028.6,50.971,166.54,2.1982,60.203,1.6927536231884175
4.0266,1028.2,48.494,166.33,2.9551,60.615,1.6463768115942299
4.2803,1027.6,53.882,166.05,2.3445,59.512,1.5768115942029088
4.6765,1026.8,54.923,165.51,2.39,60.615,1.484057971014507
5.2881,1026.1,54.493,165.72,2.7047,61.063,1.4028985507246456
5.4779,1025.5,60.777,164.35,2.4764,61.087,1.3333333333333508
5.8393,1024.5,63.844,164.86,2.5136,59.902,1.2173913043478422
6.257,1023.7,64.784,163.45,2.5022,60.792,1.1246376811594403
6.537,1022.8,63.733,163.87,2.448,60.209,1.020289855072472
6.9811,1021.8,68.687,162.52,2.4257,59.891,0.9043478260869632
7.4258,1020.5,69.422,157.53,2.7196,63.038,0.753623188405807
13.669,1011.0,67.811,141.74,7.0833,56.838,-0.34782608695652634
13.643,1010.4,67.515,157.91,2.8087,64.448,-0.4173913043478342
13.618,1009.9,64.808,156.79,2.9922,65.402,-0.4753623188405886
13.528,1009.6,63.893,157.16,3.079,64.745,-0.510144927536236
13.488,1008.9,64.991,155.94,3.1557,65.071,-0.5913043478260974
13.749,1008.4,64.892,156.0,3.1598,63.761,-0.6492753623188517
14.081,1008.2,62.75,154.08,2.4752,62.156,-0.6724637681159457
14.146,1008.0,64.817,150.69,2.4229,63.643,-0.6956521739130527
14.216,1008.1,65.938,138.8,2.9083,65.609,-0.6840579710144992
14.38,1008.2,63.991,134.05,3.5637,65.074,-0.6724637681159457
14.61,1008.2,62.448,132.81,3.5939,65.259,-0.6724637681159457
15.011,1008.2,61.489,133.63,3.2819,64.079,-0.6724637681159457
14.64,1007.9,62.649,132.41,3.3437,65.043,-0.7072463768116062
14.512,1007.7,64.822,122.28,4.4783,68.596,-0.7304347826087
13.599,1008.9,68.974,149.12,2.8175,65.709,-0.5913043478260974
8.2167,1010.8,74.124,154.29,3.5883,70.255,-0.37101449275363335
4.9518,1012.7,82.049,164.45,3.7464,62.831,-0.15072463768115613
3.9844,1014.0,84.932,164.25,3.1742,62.064,0.0
3.0685,1014.9,84.886,164.95,2.0356,62.21,0.10434782608695527
2.0254,1015.6,87.684,164.44,2.2806,63.447,0.18550724637681668
1.9239,1016.3,89.057,162.94,2.564,64.004,0.2666666666666649
2.2551,1017.5,89.442,162.83,2.1694,61.234,0.4057971014492807
2.6769,1018.9,88.698,163.17,2.1199,60.315,0.5681159420289904
2.8829,1019.7,87.928,163.77,2.51,60.231,0.6608695652174053
2.915,1020.7,87.456,162.7,2.9081,61.026,0.776811594202914
2.9781,1021.7,87.997,162.53,2.845,59.918,0.8927536231884229
3.2098,1022.0,87.487,162.11,2.9358,60.623,0.9275362318840702
3.1939,1022.5,86.816,162.14,2.6836,60.874,0.9855072463768246
3.4713,1022.8,84.147,162.28,2.5009,60.568,1.020289855072472
3.5602,1023.0,81.503,160.24,2.6187,63.809,1.043478260869579
3.5854,1023.2,81.898,160.4,2.874,62.493,1.066666666666686
3.5704,1023.4,81.914,161.58,2.6981,60.565,1.0898550724637799
3.3638,1023.9,83.167,162.29,2.6151,60.753,1.1478260869565342
3.1503,1023.9,83.529,167.17,2.4873,58.952,1.1478260869565342
3.0234,1024.0,83.219,166.98,2.1952,58.955,1.1594202898550878
2.7264,1024.3,84.159,168.28,2.8435,58.908,1.1942028985507351
2.4541,1024.6,84.674,168.06,1.9167,56.128,1.2289855072463824
2.3137,1025.0,85.055,167.3,2.1122,56.959,1.2753623188405965
2.1869,1025.2,84.883,169.04,2.7245,57.578,1.2985507246377035
2.4683,1025.4,86.343,168.18,2.4158,57.834,1.3217391304348105
3.3565,1025.5,85.619,166.25,2.5885,58.49,1.3333333333333508
4.9344,1025.6,81.903,164.64,2.6888,58.278,1.3449275362318913
7.1859,1025.2,64.909,161.82,2.8965,59.584,1.2985507246377035
6.8154,1024.5,74.291,164.04,2.8996,58.156,1.2173913043478422
7.3466,1024.0,73.298,162.64,2.9109,58.04,1.1594202898550878
7.8561,1023.6,68.285,162.95,2.0223,56.757,1.113043478260887
7.8034,1023.9,66.234,162.84,1.8942,56.793,1.1478260869565342
7.5176,1024.1,69.557,163.06,2.4525,57.799,1.1710144927536281
6.9636,1024.5,73.215,163.99,2.9286,57.982,1.2173913043478422
6.536,1024.7,76.167,164.53,2.8878,57.423,1.2405797101449492
5.874,1024.5,76.926,165.05,2.8986,58.347,1.2173913043478422
5.0083,1024.1,78.669,164.83,2.4608,58.366,1.1710144927536281
4.7595,1023.8,75.057,165.15,2.3463,58.494,1.1362318840579808
3.8974,1023.4,77.365,166.36,2.3848,58.002,1.0898550724637799
3.178,1022.9,80.053,167.06,2.7064,58.02,1.0318840579710256
2.8912,1022.4,81.468,166.69,2.4947,57.89,0.9739130434782711
2.7344,1022.0,82.568,166.42,2.743,59.235,0.9275362318840702
2.8423,1021.9,83.002,165.82,2.6743,59.808,0.9159420289855167
2.994,1021.5,82.6,166.85,2.7561,59.18,0.8695652173913158
2.8463,1021.2,82.583,166.2,2.7072,60.385,0.8347826086956684
2.4917,1020.9,83.486,167.29,2.5858,59.378,0.8000000000000079
2.3804,1020.9,85.145,166.77,2.7423,59.793,0.8000000000000079
2.6711,1020.9,85.376,166.98,2.7847,59.182,0.8000000000000079
3.0559,1020.7,85.108,165.66,1.7481,58.296,0.776811594202914
4.256,1020.8,85.997,164.64,1.7864,57.829,0.7884057971014544
5.9913,1020.8,85.746,162.26,2.1468,58.157,0.7884057971014544
7.8231,1020.1,80.759,161.43,3.0747,58.298,0.7072463768116062
9.1131,1019.3,73.991,161.0,3.296,58.906,0.6144927536231912
9.9461,1018.5,69.71,158.75,3.0138,59.063,0.5217391304347895
10.113,1017.9,69.945,159.71,2.6458,58.92,0.4521739130434816
9.9493,1017.5,70.881,161.16,2.9665,58.7,0.4057971014492807
9.6665,1017.3,73.279,162.89,2.6707,57.767,0.3826086956521737
8.4827,1017.2,75.435,163.62,2.575,58.108,0.37101449275363335
7.0983,1017.0,78.407,163.61,2.8073,59.391,0.34782608695652634
6.5554,1016.7,80.61,163.38,2.6988,59.957,0.31304347826087897
6.4633,1016.4,81.737,162.5,2.5244,59.663,0.27826086956521845
6.6201,1016.3,82.176,161.26,2.3604,59.313,0.2666666666666649
6.5549,1016.0,82.708,161.88,2.4286,59.727,0.23188405797101755
6.5421,1015.7,83.578,163.38,2.3644,59.227,0.19710144927537018
6.6795,1015.2,83.526,161.01,2.4544,60.178,0.1391304347826158
6.9969,1015.0,83.275,162.2,2.4747,59.827,0.11594202898550877
7.455,1014.8,83.441,163.09,2.7479,59.767,0.09275362318840175
7.9138,1014.7,80.963,162.21,2.7742,60.564,0.08115942028986141
8.1209,1014.5,79.748,161.98,2.787,60.454,0.05797101449275439
7.9441,1014.7,77.958,162.49,2.7458,60.676,0.08115942028986141
6.654,1014.9,79.625,161.83,2.8652,61.552,0.10434782608695527
5.8135,1015.3,79.888,165.26,2.6981,60.309,0.15072463768115613
5.188,1015.8,82.386,164.27,2.8059,60.262,0.20869565217391053
5.9283,1016.2,83.101,164.39,2.5981,59.558,0.2550724637681246
6.5152,1016.3,81.403,161.96,2.6662,60.229,0.2666666666666649
7.1178,1016.2,79.821,163.38,2.5322,59.166,0.2550724637681246
8.0863,1016.0,77.06,163.07,2.3235,59.981,0.23188405797101755
8.3955,1015.8,74.358,162.04,2.5699,61.434,0.20869565217391053
8.5164,1015.5,71.882,160.9,2.5137,61.749,0.17391304347826317
8.3828,1015.8,72.891,162.2,2.6809,61.496,0.20869565217391053
8.4429,1015.8,74.764,161.31,2.7633,61.457,0.20869565217391053
8.3891,1016.3,75.936,162.78,2.8722,60.582,0.2666666666666649
7.8668,1016.8,77.345,162.68,3.0011,60.746,0.3246376811594193
6.2145,1017.5,79.059,163.67,3.0204,60.897,0.4057971014492807
4.9337,1018.0,81.587,164.37,3.0379,60.714,0.4637681159420351
4.5777,1018.2,82.792,165.22,2.9104,59.596,0.4869565217391421
4.9182,1018.5,83.704,162.54,2.7887,59.724,0.5217391304347895
5.471,1018.8,81.654,164.7,2.7646,58.295,0.5565217391304369
5.9326,1019.1,79.514,162.15,2.7735,59.667,0.5913043478260974
6.3595,1019.6,75.413,163.32,2.7233,59.001,0.6492753623188517
5.7455,1020.2,72.694,164.57,2.8953,59.488,0.7188405797101597
4.2294,1020.1,77.04,166.09,2.99,59.379,0.7072463768116062
3.6049,1020.5,78.802,166.19,2.8868,59.148,0.753623188405807
2.8835,1021.3,80.96,166.85,2.9325,59.003,0.8463768115942087
2.8496,1022.1,81.608,167.29,2.9135,57.65,0.9391304347826237
3.0949,1022.7,81.304,166.91,2.7829,58.307,1.0086956521739316
3.5956,1023.3,81.183,166.42,2.5208,59.465,1.0782608695652263
4.9969,1023.8,80.824,164.39,2.6403,58.935,1.1362318840579808
6.4564,1024.2,77.646,161.91,2.6176,58.266,1.1826086956521948
7.5357,1024.1,73.24,162.16,2.4982,57.051,1.1710144927536281
7.8653,1023.8,71.755,162.36,2.6199,56.606,1.1362318840579808
7.9297,1023.5,70.034,161.68,2.4679,57.499,1.1014492753623333
8.1406,1023.5,68.735,161.66,2.5047,58.372,1.1014492753623333
8.5262,1023.5,67.093,161.71,2.5786,59.038,1.1014492753623333
8.6125,1023.7,66.975,161.99,2.7181,57.989,1.1246376811594403
8.2469,1024.2,68.745,161.66,2.8081,58.078,1.1826086956521948
7.6365,1024.5,69.817,161.8,2.7213,58.617,1.2173913043478422
7.3294,1024.7,71.742,161.61,2.8236,59.003,1.2405797101449492
6.7533,1024.9,73.658,163.22,2.4258,57.165,1.2637681159420562
5.4628,1025.1,76.877,163.64,2.3025,57.814,1.2869565217391368
4.6373,1025.1,79.519,164.59,2.5633,58.132,1.2869565217391368
4.2144,1025.1,79.445,165.57,2.8165,57.83,1.2869565217391368
4.0782,1025.2,80.935,165.92,2.9123,57.707,1.2985507246377035
4.6128,1025.1,81.234,164.34,2.9008,58.405,1.2869565217391368
5.0159,1024.8,81.642,164.44,2.9776,58.09,1.2521739130434895
5.602,1024.2,80.28,163.49,2.7352,58.233,1.1826086956521948
5.8587,1024.0,80.696,163.87,2.5507,57.75,1.1594202898550878
6.2573,1024.0,79.981,161.8,2.5466,58.999,1.1594202898550878
6.5067,1024.0,78.887,162.07,2.5887,59.338,1.1594202898550878
6.3896,1024.1,79.103,163.17,2.7353,58.081,1.1710144927536281
6.4337,1024.4,79.603,162.94,2.9479,57.728,1.2057971014493019
7.404,1024.7,77.837,162.97,3.0023,58.089,1.2405797101449492
8.7136,1024.8,71.354,161.9,2.6918,58.217,1.2521739130434895
9.3753,1024.5,68.86,160.71,2.2064,58.435,1.2173913043478422
9.658,1024.0,64.735,159.87,2.5324,59.954,1.1594202898550878
9.6082,1023.6,66.782,160.29,2.6069,59.238,1.113043478260887
9.4986,1023.4,65.646,158.77,2.8641,58.781,1.0898550724637799
9.5461,1023.2,66.631,160.16,2.8316,57.743,1.066666666666686
9.4349,1023.4,66.66,160.14,2.732,58.652,1.0898550724637799
8.6468,1023.5,68.327,162.26,2.8555,57.731,1.1014492753623333
7.741,1023.7,70.898,163.81,2.9036,57.365,1.1246376811594403
6.1819,1023.6,74.21,164.62,2.8128,57.519,1.113043478260887
5.0636,1023.6,76.173,165.03,2.7366,58.339,1.113043478260887
4.1102,1023.8,79.495,165.38,2.6176,58.031,1.1362318840579808
3.1947,1024.1,79.878,166.6,2.7827,58.552,1.1710144927536281
2.7947,1024.2,82.922,167.69,2.2359,56.429,1.1826086956521948
2.7169,1024.1,82.737,167.49,2.773,57.26,1.1710144927536281
2.3815,1024.0,82.921,167.96,2.618,56.897,1.1594202898550878
2.1492,1024.0,83.828,167.94,2.7511,56.055,1.1594202898550878
1.452,1024.2,82.202,169.29,2.8579,56.718,1.1826086956521948
0.61635,1024.1,86.496,167.79,2.3859,57.442,1.1710144927536281
0.32456,1024.2,89.692,169.56,1.857,56.443,1.1826086956521948
0.75101,1024.3,92.896,168.37,1.7076,56.632,1.1942028985507351
1.3553,1024.4,92.392,168.05,2.3431,57.748,1.2057971014493019
1.8072,1024.6,92.018,167.34,2.6369,55.154,1.2289855072463824
2.6957,1024.9,92.129,167.23,2.2018,51.573,1.2637681159420562
4.2745,1024.7,93.522,165.7,2.514,51.893,1.2405797101449492
6.2525,1024.1,93.171,164.31,3.1248,50.94,1.1710144927536281
7.4615,1023.4,90.872,163.91,3.1905,51.395,1.0898550724637799
9.0014,1022.8,86.453,161.52,2.9923,52.678,1.020289855072472
11.031,1022.6,66.21,159.62,2.4456,53.905,0.9971014492753781
11.521,1022.3,70.374,160.43,2.2871,53.193,0.9623188405797175
10.682,1022.3,75.971,161.21,2.5577,51.959,0.9623188405797175
10.271,1022.0,77.379,161.59,2.7491,51.382,0.9275362318840702
10.069,1021.8,77.874,162.43,2.9949,51.483,0.9043478260869632
9.9216,1021.4,76.155,161.98,2.8844,52.216,0.8579710144927623
8.8979,1021.2,77.636,163.77,2.5432,51.63,0.8347826086956684
7.6232,1021.2,78.5,163.68,3.0077,52.856,0.8347826086956684
6.5958,1021.0,80.105,163.92,2.8875,52.46,0.8115942028985614
6.1943,1021.0,81.188,164.45,2.4423,52.754,0.8115942028985614
6.5412,1020.5,82.256,162.24,2.6824,53.283,0.753623188405807
7.4325,1020.4,83.235,160.19,2.6418,52.995,0.7420289855072535
8.5784,1020.1,81.785,161.41,2.8883,52.604,0.7072463768116062
8.5385,1019.6,81.081,161.6,2.7773,52.826,0.6492753623188517
8.2398,1019.0,81.711,161.15,2.6927,52.892,0.5797101449275439
8.4968,1018.7,80.88,160.14,2.2834,53.556,0.5449275362318965
8.6295,1018.9,80.302,161.61,2.115,52.217,0.5681159420289904
9.4502,1018.9,81.085,161.16,2.2759,52.264,0.5681159420289904
10.196,1018.9,79.731,160.47,2.3127,54.826,0.5681159420289904
10.909,1018.9,79.535,159.26,2.4881,57.97,0.5681159420289904
12.158,1019.0,71.413,157.34,2.4653,58.472,0.5797101449275439
12.983,1018.3,66.381,157.46,2.9408,58.887,0.49855072463768246
13.45,1017.8,62.322,157.31,3.1325,60.509,0.4405797101449281
13.986,1017.2,61.182,156.92,2.8571,59.502,0.37101449275363335
14.236,1016.6,59.484,156.51,2.4221,58.68,0.30144927536232546
14.269,1016.4,61.825,156.84,2.7589,58.264,0.27826086956521845
14.229,1015.9,61.279,156.23,2.7382,58.859,0.22028985507246404
14.023,1015.8,62.767,157.66,2.3789,57.928,0.20869565217391053
13.242,1015.9,65.2,157.65,2.2959,57.808,0.22028985507246404
11.671,1016.0,71.059,159.1,2.7375,58.887,0.23188405797101755
10.724,1016.2,74.376,158.62,3.0888,59.492,0.2550724637681246
11.163,1016.2,75.785,158.38,2.5619,59.805,0.2550724637681246
10.814,1016.3,75.286,158.86,2.6444,58.842,0.2666666666666649
10.266,1016.3,77.654,160.62,2.9372,57.591,0.2666666666666649
9.1305,1016.3,78.85,125.35,4.2931,71.303,0.2666666666666649
9.0865,1016.2,80.567,122.44,4.0922,72.091,0.2550724637681246
9.0815,1016.4,80.806,122.78,3.6385,71.957,0.27826086956521845
