model,year,price,transmission,mileage,fuelType,tax,mpg,engineSize
 C Class,2017.0,16402,Automatic,22214.0,Petrol,125.0,53.3,2.0
 C Class,2019.0,25980,Semi-Auto,13624.0,Petrol,145.0,45.6,1.5
 CL Class,2016.0,19400,Automatic,38915.0,Petrol,200.0,42.8,2.0
 GLC Class,2016.0,24642,Semi-Auto,20345.0,Diesel,125.0,56.5,2.1
 V Class,2016.0,17998,Manual,21981.0,Diesel,200.0,46.3,2.1
 C Class,2016.0,20191,Automatic,47651.0,Diesel,30.0,65.7,2.1
 B Class,2019.0,23799,Automatic,3617.0,Diesel,145.0,60.1,1.5
 CLA Class,2019.0,28680,Automatic,3128.0,Petrol,145.0,40.9,2.0
 C Class,2017.0,17800,Automatic,29831.0,Diesel,145.0,61.4,2.1
 A Class,2019.0,23299,Manual,2078.0,Petrol,145.0,47.1,1.3
 C Class,2016.0,18249,Automatic,36077.0,Diesel,30.0,64.2,2.1
 CL Class,2015.0,19600,Automatic,34414.0,Petrol,200.0,42.8,2.0
 A Class,2019.0,21099,Semi-Auto,11706.0,Petrol,145.0,53.3,1.3
 CLA Class,2019.0,25499,Automatic,11442.0,Diesel,145.0,51.4,2.1
 E Class,2017.0,20498,Semi-Auto,35494.0,Diesel,145.0,61.4,2.0
 C Class,2020.0,69995,Semi-Auto,250.0,Petrol,145.0,28.0,4.0
 C Class,2019.0,31950,Automatic,2947.0,Diesel,145.0,54.3,1.6
 M Class,2011.0,13150,Automatic,75000.0,Diesel,555.0,31.0,3.0
 C Class,2018.0,22990,Semi-Auto,32373.0,Diesel,145.0,61.4,2.1
 E Class,2016.0,16990,Semi-Auto,25711.0,Diesel,125.0,58.9,2.1
 C Class,2017.0,22052,Automatic,13567.0,Diesel,30.0,64.2,2.1
 CL Class,2017.0,19990,Semi-Auto,28600.0,Diesel,150.0,67.3,2.1
 SLK,2015.0,14995,Automatic,36860.0,Diesel,145.0,56.5,2.1
 C Class,2016.0,13900,Manual,26108.0,Petrol,125.0,52.3,2.0
 S Class,2017.0,41990,Automatic,21600.0,Diesel,145.0,52.3,2.9
 C Class,2019.0,24999,Automatic,11574.0,Petrol,145.0,45.6,1.5
 E Class,2007.0,4880,Automatic,58000.0,Diesel,315.0,37.2,3.0
 C Class,2019.0,19849,Semi-Auto,13794.0,Petrol,145.0,46.3,1.5
 E Class,2014.0,14499,Semi-Auto,33702.0,Diesel,145.0,54.3,2.1
 A Class,2017.0,15896,Automatic,11072.0,Diesel,145.0,74.3,1.5
 GLE Class,2019.0,59995,Semi-Auto,3500.0,Diesel,145.0,32.5,2.9
 S Class,2018.0,104400,Semi-Auto,3796.0,Petrol,145.0,31.7,4.0
 C Class,2018.0,23800,Semi-Auto,12745.0,Diesel,145.0,61.4,2.0
 GLS Class,2017.0,38459,Automatic,25237.0,Diesel,305.0,37.2,3.0
 A Class,2019.0,23500,Semi-Auto,7261.0,Petrol,150.0,53.3,1.3
 GLE Class,2015.0,26680,Semi-Auto,30155.0,Diesel,260.0,42.8,3.0
 GLE Class,2016.0,26000,Semi-Auto,29628.0,Diesel,200.0,47.9,2.1
 C Class,2013.0,9995,Automatic,69000.0,Petrol,145.0,47.9,1.6
 C Class,2019.0,29099,Semi-Auto,5088.0,Petrol,145.0,47.1,1.5
 E Class,2020.0,59995,Semi-Auto,250.0,Petrol,145.0,32.1,3.0
 E Class,2019.0,36699,Semi-Auto,5065.0,Diesel,145.0,48.7,3.0
 S Class,2009.0,7724,Automatic,122000.0,Diesel,325.0,36.7,3.0
 C Class,2018.0,29532,Semi-Auto,7809.0,Diesel,145.0,54.3,2.0
 C Class,2019.0,26550,Automatic,4001.0,Diesel,145.0,64.2,2.0
 CL Class,2019.0,24000,Semi-Auto,6152.0,Petrol,145.0,38.2,2.0
 A Class,2018.0,17699,Automatic,9488.0,Petrol,145.0,49.6,1.6
 A Class,2017.0,13981,Semi-Auto,46257.0,Petrol,145.0,53.3,1.6
 C Class,2019.0,20999,Semi-Auto,13318.0,Diesel,145.0,61.4,2.0
 B Class,2019.0,21190,Automatic,14846.0,Petrol,145.0,45.6,1.3
 S Class,2019.0,63099,Semi-Auto,1766.0,Diesel,145.0,48.7,3.0
 S Class,2017.0,27498,Semi-Auto,39872.0,Diesel,145.0,50.4,3.0
 E Class,2019.0,39680,Automatic,8720.0,Diesel,145.0,70.6,2.0
 A Class,2016.0,11500,Manual,38698.0,Diesel,0.0,80.7,1.5
 A Class,2016.0,14299,Manual,43748.0,Diesel,30.0,62.8,2.1
 C Class,2010.0,5993,Automatic,109000.0,Diesel,265.0,42.8,3.0
 C Class,2019.0,34799,Semi-Auto,1941.0,Diesel,145.0,55.4,2.0
 C Class,2019.0,42099,Semi-Auto,3076.0,Petrol,145.0,28.0,3.0
 A Class,2017.0,14270,Semi-Auto,65000.0,Diesel,20.0,68.9,2.1
 GLA Class,2015.0,15998,Semi-Auto,38858.0,Diesel,20.0,67.3,2.1
 A Class,2016.0,15071,Semi-Auto,27663.0,Diesel,20.0,74.3,1.5
 CL Class,2017.0,16985,Manual,32938.0,Diesel,145.0,67.3,2.1
 E Class,2018.0,30982,Semi-Auto,2114.0,Petrol,145.0,39.2,2.0
 M Class,2013.0,18999,Automatic,27932.0,Diesel,200.0,44.8,2.1
 C Class,2019.0,19980,Semi-Auto,14568.0,Petrol,145.0,46.3,1.5
 GLA Class,2018.0,21240,Semi-Auto,14461.0,Diesel,150.0,56.5,2.1
 E Class,2016.0,17680,Semi-Auto,46512.0,Diesel,145.0,56.5,2.1
 C Class,2019.0,29995,Semi-Auto,21.0,Diesel,145.0,61.4,2.0
 A Class,2019.0,22599,Semi-Auto,2314.0,Diesel,145.0,62.8,1.5
 A Class,2018.0,18399,Automatic,7168.0,Diesel,145.0,65.7,1.5
 C Class,2019.0,24998,Semi-Auto,9344.0,Diesel,145.0,55.4,2.0
 A Class,2016.0,14580,Manual,13232.0,Diesel,30.0,65.7,2.1
 R Class,2011.0,11999,Automatic,75857.0,Diesel,325.0,33.2,3.0
 C Class,2020.0,34995,Semi-Auto,5000.0,Diesel,145.0,64.2,2.0
 B Class,2014.0,8490,Manual,75894.0,Diesel,0.0,74.3,1.5
 C Class,2019.0,36539,Semi-Auto,1000.0,Diesel,145.0,55.4,2.0
 A Class,2018.0,14500,Manual,25414.0,Petrol,150.0,51.4,1.6
 C Class,2014.0,10699,Automatic,50179.0,Diesel,145.0,53.3,2.1
 C Class,2016.0,15990,Semi-Auto,26957.0,Diesel,30.0,65.7,1.6
 GLE Class,2019.0,49199,Semi-Auto,6785.0,Diesel,150.0,36.7,3.0
 C Class,2016.0,13295,Automatic,86620.0,Hybrid,0.0,134.5,2.0
 C Class,2015.0,12495,Automatic,55000.0,Diesel,30.0,64.2,2.1
 A Class,2020.0,27995,Semi-Auto,16.0,Diesel,145.0,67.3,1.5
 C Class,2019.0,31995,Semi-Auto,7992.0,Diesel,145.0,57.7,2.0
 GLA Class,2016.0,19124,Semi-Auto,29774.0,Diesel,125.0,55.4,2.1
 E Class,2018.0,20000,Automatic,19419.0,Diesel,150.0,61.4,2.0
 A Class,2016.0,13480,Manual,58150.0,Diesel,30.0,62.8,2.1
 E Class,2017.0,18999,Semi-Auto,50000.0,Diesel,145.0,72.4,2.0
 E Class,2018.0,24892,Semi-Auto,9900.0,Diesel,145.0,61.4,2.0
 E Class,2019.0,36500,Automatic,3877.0,Petrol,145.0,33.7,2.0
 C Class,2016.0,17979,Automatic,47448.0,Hybrid,0.0,134.5,2.0
 V Class,2017.0,29998,Semi-Auto,41298.0,Diesel,205.0,45.6,2.2
 A Class,2016.0,12600,Manual,21572.0,Diesel,20.0,72.4,1.5
 C Class,2019.0,24399,Semi-Auto,15028.0,Petrol,145.0,46.3,1.5
 GLC Class,2017.0,27782,Semi-Auto,37000.0,Diesel,200.0,47.9,3.0
 CL Class,2015.0,23981,Semi-Auto,40602.0,Petrol,205.0,39.8,2.0
 A Class,2016.0,13891,Semi-Auto,36046.0,Petrol,125.0,53.3,1.6
 GL Class,2016.0,27990,Automatic,36000.0,Diesel,235.0,42.8,3.0
 A Class,2017.0,18790,Semi-Auto,19079.0,Petrol,145.0,52.3,1.6
 GLE Class,2016.0,26572,Automatic,34333.0,Diesel,260.0,42.8,3.0
 CLS Class,2016.0,19383,Automatic,42651.0,Diesel,145.0,56.5,2.1
 GLE Class,2016.0,29990,Semi-Auto,63250.0,Diesel,145.0,32.5,3.0
 GLC Class,2017.0,30122,Semi-Auto,24046.0,Diesel,145.0,56.5,2.1
 E Class,2019.0,34640,Semi-Auto,2824.0,Diesel,150.0,42.8,3.0
 A Class,2019.0,22699,Semi-Auto,3252.0,Diesel,145.0,65.7,1.5
 V Class,2017.0,35995,Semi-Auto,16830.0,Diesel,235.0,44.8,2.2
 CLS Class,2013.0,12295,Automatic,56030.0,Diesel,145.0,55.0,2.1
 A Class,2017.0,14990,Automatic,39000.0,Diesel,145.0,68.9,2.1
 C Class,2017.0,21124,Semi-Auto,28023.0,Diesel,30.0,61.4,2.1
 E Class,2017.0,22199,Semi-Auto,13402.0,Diesel,145.0,61.4,2.0
 A Class,2017.0,15000,Manual,27842.0,Diesel,150.0,68.9,1.5
 C Class,2019.0,23990,Automatic,15257.0,Petrol,145.0,46.3,1.5
 E Class,2017.0,19940,Semi-Auto,28471.0,Diesel,20.0,67.3,2.0
 GLC Class,2019.0,32499,Semi-Auto,9418.0,Diesel,145.0,41.5,2.1
 C Class,2017.0,21770,Semi-Auto,32790.0,Diesel,20.0,67.3,2.1
 C Class,2018.0,19490,Semi-Auto,11810.0,Diesel,145.0,61.4,2.1
 CL Class,2019.0,27149,Semi-Auto,2000.0,Petrol,145.0,38.2,2.0
 GLA Class,2015.0,14500,Automatic,54500.0,Diesel,30.0,62.8,2.1
 E Class,2019.0,23480,Automatic,18810.0,Petrol,145.0,42.2,2.0
 E Class,2017.0,22499,Semi-Auto,21301.0,Diesel,145.0,65.7,2.0
 B Class,2019.0,23899,Automatic,1000.0,Diesel,145.0,55.4,2.0
 S Class,2018.0,39990,Automatic,25000.0,Diesel,150.0,52.3,2.9
 C Class,2018.0,39249,Automatic,7297.0,Petrol,145.0,29.7,3.0
 B Class,2019.0,22299,Semi-Auto,12451.0,Petrol,145.0,45.6,1.3
 C Class,2016.0,13690,Manual,49761.0,Diesel,20.0,68.9,2.1
 E Class,2017.0,21182,Semi-Auto,29200.0,Diesel,145.0,65.7,2.0
 C Class,2017.0,15267,Manual,25820.0,Petrol,125.0,53.3,2.0
 CLS Class,2019.0,38899,Semi-Auto,6785.0,Diesel,145.0,48.7,2.9
 A Class,2016.0,13742,Manual,30313.0,Diesel,20.0,72.4,1.5
 C Class,2017.0,20990,Automatic,20000.0,Diesel,145.0,60.1,2.1
 A Class,2015.0,19600,Automatic,29917.0,Petrol,160.0,45.6,2.0
 E Class,2019.0,41989,Semi-Auto,7604.0,Petrol,145.0,32.5,3.0
 C Class,2019.0,20980,Semi-Auto,14208.0,Petrol,145.0,44.1,1.5
 GLE Class,2019.0,58991,Automatic,2777.0,Diesel,145.0,32.8,3.0
 C Class,2019.0,33599,Semi-Auto,1000.0,Petrol,145.0,44.1,2.0
 A Class,2016.0,15572,Semi-Auto,45902.0,Petrol,125.0,52.3,1.6
 GLA Class,2018.0,26399,Semi-Auto,4507.0,Diesel,145.0,56.5,2.1
 C Class,2019.0,28524,Automatic,8263.0,Diesel,145.0,57.7,2.0
 GLA Class,2015.0,14498,Manual,41042.0,Diesel,20.0,64.2,2.1
 A Class,2017.0,15790,Manual,23364.0,Diesel,145.0,62.8,2.1
 A Class,2018.0,17549,Semi-Auto,16321.0,Diesel,145.0,68.9,2.1
 CL Class,2019.0,26699,Semi-Auto,14101.0,Diesel,145.0,51.4,2.2
 A Class,2017.0,27990,Semi-Auto,17299.0,Petrol,200.0,40.9,2.0
 GLC Class,2016.0,24995,Automatic,21600.0,Diesel,125.0,56.5,2.1
 A Class,2019.0,25690,Automatic,1499.0,Diesel,145.0,67.3,1.5
 A Class,2016.0,16490,Semi-Auto,27189.0,Diesel,20.0,68.9,2.1
 E Class,2019.0,44499,Semi-Auto,8000.0,Petrol,145.0,32.5,3.0
 CL Class,2015.0,15499,Semi-Auto,19812.0,Petrol,125.0,51.4,1.6
 CLS Class,2019.0,47899,Semi-Auto,4977.0,Diesel,145.0,47.9,2.9
 CL Class,2013.0,16822,Semi-Auto,31250.0,Diesel,30.0,62.8,2.1
 A Class,2015.0,11295,Automatic,86890.0,Diesel,20.0,64.2,2.1
 SL CLASS,2016.0,18990,Semi-Auto,24609.0,Diesel,30.0,70.6,2.1
 GLC Class,2019.0,41570,Semi-Auto,8892.0,Diesel,145.0,40.9,2.0
 GL Class,2015.0,15499,Automatic,45132.0,Diesel,125.0,56.5,2.1
 GLE Class,2017.0,29480,Semi-Auto,28699.0,Diesel,145.0,42.8,3.0
 A Class,2017.0,17000,Manual,10634.0,Petrol,150.0,49.6,1.6
 SL CLASS,2018.0,39900,Automatic,12975.0,Petrol,145.0,36.7,3.0
 C Class,2019.0,25699,Semi-Auto,14936.0,Diesel,145.0,61.4,2.0
 A Class,2019.0,104999,Semi-Auto,5822.0,Petrol,150.0,22.6,4.0
 C Class,2018.0,33980,Semi-Auto,13983.0,Petrol,145.0,35.3,3.0
 GLA Class,2016.0,14500,Automatic,70480.0,Diesel,30.0,64.2,2.1
 GLC Class,2020.0,72995,Semi-Auto,500.0,Petrol,145.0,22.4,4.0
 C Class,2020.0,33998,Automatic,2000.0,Diesel,145.0,61.4,2.0
 R Class,2007.0,6950,Automatic,60000.0,Diesel,565.0,30.4,3.0
 A Class,2016.0,15502,Manual,20250.0,Diesel,20.0,68.9,1.5
 A Class,2017.0,15924,Semi-Auto,25450.0,Petrol,145.0,53.3,1.6
 S Class,2019.0,47980,Semi-Auto,10655.0,Diesel,145.0,52.3,3.0
 A Class,2017.0,17400,Manual,18200.0,Petrol,145.0,49.6,1.6
 GLC Class,2020.0,49980,Semi-Auto,3999.0,Petrol,145.0,26.4,3.0
 GLC Class,2019.0,32490,Semi-Auto,4302.0,Diesel,150.0,44.8,2.0
 C Class,2016.0,22795,Automatic,26160.0,Diesel,30.0,65.7,2.1
 A Class,2020.0,25879,Semi-Auto,1000.0,Petrol,145.0,53.3,1.3
 GLA Class,2014.0,15500,Semi-Auto,21729.0,Diesel,30.0,62.8,2.1
 GLA Class,2015.0,14000,Automatic,57090.0,Diesel,30.0,62.8,2.1
 A Class,2019.0,18900,Automatic,9533.0,Diesel,145.0,65.7,1.5
 C Class,2017.0,18049,Semi-Auto,41005.0,Diesel,30.0,61.4,2.1
 C Class,2011.0,9495,Automatic,39000.0,Petrol,160.0,43.5,1.8
 CLC Class,2010.0,4695,Automatic,85000.0,Petrol,305.0,35.8,1.6
 GLE Class,2017.0,28498,Automatic,34236.0,Diesel,145.0,42.8,3.0
 C Class,2019.0,30672,Automatic,3946.0,Diesel,145.0,57.7,2.0
 CL Class,2016.0,18799,Semi-Auto,19930.0,Diesel,20.0,70.6,2.1
 A Class,2017.0,15065,Semi-Auto,14219.0,Petrol,30.0,55.4,1.6
 E Class,2019.0,56499,Semi-Auto,484.0,Petrol,145.0,31.7,3.0
 E Class,2017.0,21499,Semi-Auto,24938.0,Diesel,145.0,67.3,2.0
 B Class,2017.0,11990,Manual,43069.0,Diesel,145.0,68.9,1.5
 GLC Class,2018.0,30498,Semi-Auto,19287.0,Diesel,145.0,56.5,2.1
 A Class,2017.0,16998,Manual,17196.0,Diesel,145.0,62.8,2.1
 V Class,2018.0,21798,Manual,15323.0,Diesel,150.0,46.3,2.1
 C Class,2019.0,31480,Semi-Auto,3229.0,Diesel,145.0,64.2,2.0
 S Class,2015.0,38980,Automatic,11000.0,Petrol,270.0,33.2,4.7
 C Class,2019.0,32069,Automatic,1000.0,Diesel,145.0,64.2,2.0
 E Class,2015.0,17480,Semi-Auto,32093.0,Diesel,145.0,54.3,3.0
 C Class,2019.0,24998,Semi-Auto,22400.0,Petrol,145.0,44.1,1.5
 C Class,2016.0,19999,Automatic,19299.0,Hybrid,0.0,134.5,2.0
 CL Class,2017.0,31000,Semi-Auto,24325.0,Petrol,150.0,40.9,2.0
 C Class,2015.0,13362,Automatic,74044.0,Diesel,20.0,64.2,2.1
 GLA Class,2015.0,18449,Semi-Auto,40346.0,Diesel,125.0,56.5,2.1
 A Class,2017.0,19998,Semi-Auto,28129.0,Petrol,145.0,45.6,2.0
 C Class,2015.0,17089,Semi-Auto,27501.0,Diesel,30.0,64.2,2.1
 B Class,2014.0,9800,Automatic,31963.0,Diesel,30.0,64.2,1.5
 A Class,2019.0,20991,Semi-Auto,2513.0,Diesel,145.0,65.7,1.5
 GLA Class,2020.0,27980,Semi-Auto,16.0,Petrol,145.0,35.8,1.6
 B Class,2014.0,8699,Manual,59587.0,Diesel,30.0,61.4,1.5
 C Class,2016.0,21495,Semi-Auto,16723.0,Diesel,125.0,60.1,2.1
 M Class,2015.0,18490,Semi-Auto,49283.0,Diesel,200.0,45.6,2.1
 CL Class,2018.0,20932,Semi-Auto,25276.0,Petrol,145.0,53.3,1.6
 GL Class,2017.0,27990,Automatic,28000.0,Diesel,200.0,47.9,2.1
 C Class,2017.0,20700,Semi-Auto,18346.0,Diesel,150.0,61.4,2.1
 A Class,2020.0,25729,Semi-Auto,1000.0,Petrol,145.0,53.3,1.3
 GLC Class,2019.0,33160,Semi-Auto,2022.0,Diesel,145.0,44.8,2.0
 C Class,2018.0,18051,Automatic,11319.0,Diesel,145.0,65.7,1.6
 GLE Class,2017.0,29998,Semi-Auto,15626.0,Diesel,265.0,42.8,3.0
 C Class,2019.0,28995,Automatic,3500.0,Diesel,145.0,64.2,2.0
 GLA Class,2019.0,25400,Automatic,3000.0,Petrol,150.0,35.8,1.6
 A Class,2013.0,16995,Semi-Auto,16345.0,Petrol,165.0,44.1,2.0
 C Class,2019.0,34919,Semi-Auto,2292.0,Petrol,145.0,44.1,1.5
 B Class,2019.0,21980,Semi-Auto,9318.0,Petrol,145.0,45.6,1.3
 E Class,2017.0,20999,Automatic,11404.0,Diesel,160.0,52.3,3.0
 GLE Class,2019.0,51290,Automatic,6235.0,Diesel,145.0,32.8,3.0
 GL Class,2015.0,15599,Automatic,54965.0,Diesel,125.0,55.4,2.1
 A Class,2014.0,10495,Manual,53954.0,Diesel,20.0,70.6,1.5
 A Class,2019.0,19888,Manual,9071.0,Petrol,145.0,53.3,1.3
 A Class,2014.0,11250,Semi-Auto,58500.0,Diesel,30.0,65.7,1.5
 S Class,2019.0,55890,Semi-Auto,3380.0,Diesel,145.0,52.3,3.0
 A Class,2019.0,25399,Semi-Auto,4059.0,Petrol,150.0,28.5,2.0
 C Class,2019.0,32499,Automatic,3250.0,Petrol,145.0,44.1,2.0
 A Class,2015.0,13022,Semi-Auto,32230.0,Diesel,20.0,68.9,1.5
 B Class,2017.0,13000,Manual,6437.0,Diesel,145.0,65.7,2.1
 A Class,2019.0,23509,Semi-Auto,1000.0,Diesel,145.0,67.3,1.5
 C Class,2019.0,30995,Semi-Auto,14.0,Petrol,145.0,42.8,2.0
 E Class,2019.0,37999,Semi-Auto,4366.0,Diesel,145.0,48.7,3.0
 C Class,2016.0,16980,Semi-Auto,17259.0,Diesel,20.0,65.7,2.1
 C Class,2019.0,24599,Semi-Auto,14234.0,Petrol,145.0,46.3,1.5
 CL Class,2016.0,19995,Semi-Auto,19849.0,Diesel,125.0,58.9,2.1
 C Class,2015.0,14495,Manual,23146.0,Petrol,115.0,52.3,2.0
 GLA Class,2020.0,25480,Semi-Auto,16.0,Petrol,145.0,37.2,1.6
 GLA Class,2019.0,35890,Automatic,7194.0,Petrol,145.0,37.7,2.0
 A Class,2019.0,25495,Semi-Auto,4697.0,Petrol,145.0,45.6,2.0
 E Class,2016.0,19480,Semi-Auto,19448.0,Diesel,125.0,58.9,2.1
 C Class,2017.0,15998,Manual,24162.0,Diesel,30.0,65.7,1.6
 C Class,2015.0,17695,Automatic,64765.0,Diesel,30.0,64.2,2.1
 C Class,2016.0,16680,Semi-Auto,45588.0,Diesel,20.0,64.2,2.1
 A Class,2015.0,14499,Manual,59558.0,Diesel,30.0,62.8,2.1
 CL Class,2018.0,19660,Semi-Auto,7960.0,Petrol,150.0,52.3,1.6
 C Class,2019.0,29999,Semi-Auto,6266.0,Diesel,145.0,57.7,2.0
 GLC Class,2017.0,26998,Semi-Auto,21554.0,Diesel,145.0,56.5,2.1
 A Class,2019.0,23999,Automatic,5999.0,Petrol,145.0,47.9,1.3
 E Class,2016.0,20380,Semi-Auto,27836.0,Diesel,20.0,67.3,2.0
 S Class,2018.0,56000,Semi-Auto,2286.0,Petrol,145.0,40.9,3.0
 B Class,2019.0,20945,Automatic,13661.0,Petrol,145.0,45.6,1.3
 C Class,2019.0,29999,Semi-Auto,4843.0,Diesel,145.0,57.7,2.0
 GLA Class,2017.0,16700,Manual,29159.0,Diesel,145.0,67.3,2.1
 A Class,2020.0,26841,Semi-Auto,2284.0,Petrol,145.0,53.3,1.3
 C Class,2014.0,11149,Semi-Auto,39173.0,Diesel,145.0,56.5,2.1
 A Class,2020.0,25644,Automatic,6000.0,Petrol,145.0,53.3,1.3
 GLC Class,2020.0,49980,Semi-Auto,4001.0,Petrol,145.0,26.4,3.0
 A Class,2017.0,15200,Manual,22289.0,Petrol,125.0,51.4,1.6
 GL Class,2016.0,19699,Automatic,16489.0,Diesel,125.0,56.5,2.1
 GLC Class,2016.0,25750,Semi-Auto,17000.0,Diesel,125.0,56.5,2.1
 C Class,2018.0,18700,Automatic,28629.0,Diesel,145.0,60.1,2.1
 A Class,2016.0,15549,Semi-Auto,45809.0,Diesel,20.0,68.9,2.1
 GL Class,2016.0,16999,Automatic,34586.0,Diesel,125.0,56.6,2.1
 GLE Class,2017.0,38572,Semi-Auto,21566.0,Hybrid,135.0,76.4,3.0
 A Class,2018.0,21390,Automatic,9571.0,Petrol,145.0,53.3,1.3
 C Class,2017.0,25494,Semi-Auto,20380.0,Diesel,30.0,65.7,2.1
 C Class,2016.0,16449,Automatic,27268.0,Diesel,30.0,64.2,2.1
